Name,Address,Website,Phone Number,Image URL
The Dorchester Hotel,"53 Park Lane, Westminster, London, W1K 1QA",dorchestercollection.com,020 7629 8888 ,"https://c.yell.com/t_bigSquare,f_auto/0b67da5f-6d40-4e76-9da4-26e75f3f2f4f_image_jpeg.jpg"
The Dorchester Group,"57 Berkeley Square Mayfair, London, W1J 6ER",dorchestercollection.com,020 7629 4848 ,"https://c.yell.com/t_bigRect,f_auto/ec42c131-cc39-4ab0-99f3-3ec1e760166c_image_jpeg.jpg"
No 5 Maddox Street Hotel,"5 Maddox St, London, W1S 2QD",living-rooms.co.uk,020 7647 0200 ,"https://c.yell.com/t_bigSquare,f_auto/9961dee3-f7b6-4365-9092-c9abd3a7ee5b_image_jpeg.jpg"
Portland Hotel,"31-32 Bedford Place, London, WC1B 5JH",grangehotels.com,020 7580 7088 ,"https://c.yell.com/t_bigSquare,f_auto/cc5b61e0-f0cc-423c-9b07-988fddbc3afb_image_jpeg.jpg"
Blooms Town House Hotel,"2-7 Montague St, London, WC1B 5BP",grangehotels.com,020 7323 1717 ,"https://c.yell.com/t_bigSquare,f_auto/38765410-42dd-4223-aced-3206affb1051_image_jpeg.jpg"
Bloomsbury Park,"126 Southampton Row, London, WC1B 5AD",,0845 4566399 ,
St Ermins Hotel,"2 Caxton St, London, SW1H 0QW",sterminshotel.co.uk,020 7222 7888 ,
Taj Hotels,"51 Buckingham Gate, London, SW1E 6AF",taj51buckinghamgate.co.uk,020 7769 7766 ,"https://c.yell.com/t_bigSquare,f_auto/76e48e20-f1c5-4c49-9dd5-56d2cdf97d89_image_jpeg.jpg"
Premier Inn Westminster,"15 Dacre St, London, SW1H 0DJ",premierinn.com,0871 527 9706 ,
Premier Inn,"15 Dacre Street, LONDON, SW1H 0DJ",premierinn.com,0871 527 9706 ,
Sanook Spa,"within Courthouse Hotel, 19-21, Great Marlborough St, London, W1F 7HL",courthouse-hotel.com,020 7297 5563 ,"https://c.yell.com/t_bigSquare,f_auto/a5bb75fd-6ca0-4dc5-ad97-3039485cbc80_image_jpeg.jpg"
The Lancaster Hotel,"4-6 Bedford Place, London, WC1B 5JD",grangehotels.com,020 7637 3400 ,"https://c.yell.com/t_bigSquare,f_auto/1a1bfbf8-459a-494c-9d89-565b1ffff014_image_jpeg.jpg"
Grange Hotels,"34 Bedford Place, London, WC1B 5JR",grangehotels.com,020 7307 1575 ,"https://c.yell.com/t_bigSquare,f_auto/be26f1b3-7119-434a-ae8f-a66cc0277e13_image_jpeg.jpg"
"The Wellington Hotel, Waterloo","81-83 Waterloo Rd Waterloo, London, SE1 8UD",wellingtonhotelwaterloo.co.uk,020 7928 6083 ,
The Lonsdale Hotel,"9-10 Bedford Place, Bloomsberry, London, WC1B 5JA",lonsdalehotellondon.com,020 7636 1812 ,"https://c.yell.com/t_bigSquare,f_auto/84208c8d-7376-4b15-a72e-0ef669a93389_image_jpeg.jpg"
L'Oscar,"2-6 Southampton Row, Bloomsbury, LONDON, WC1B 4AA",loscar.com,020 7405 5555 ,
Rosewood London,"252 High Holborn, London, WC1V 7EN",rosewoodhotels.com,020 7781 8888 ,
Living Rooms,"5 Maddox St, London, W1S 2QD",living-rooms.co.uk,020 7792 4070 ,
Apex Hotels Developments Ltd,"1-2 Serjeants' Inn Fleet St, London, EC4Y 1AG",apexhotels.co.uk,020 3004 4141 ,"https://c.yell.com/t_bigRect,f_auto/f9ddbcaf-c139-4ef6-a8d8-3a889dd31bb6_image_jpeg.jpg"
Roux at the Landau,"1C Portland Place, London, W1B 1JA",rouxatthelandau.com?utm_source=yext&utm_medium=referral&utm_campaign=yext_profile,020 7965 0165 ,"https://c.yell.com/t_bigRect,f_auto/c666f217-d751-4654-a4cc-047132833f11_image_jpeg.jpg"
Cola Holdings Ltd,"1-2 Coach & Horses Yard, London, W1S 2EH",,020 8382 5018 ,
Bedford Hotel,"83-93 Southampton Row, London, WC1B 4HD",imperialhotels.co.uk,020 7636 7822 ,"https://c.yell.com/t_bigSquare,f_auto/5c9d412f-239d-4ecf-a7b6-669d22cbbb06_image_jpeg.jpg"
Radisson Blu Edwardian Mayfair,"70 Stratton Street, Mayfair, LONDON, W1J 8LW",radissonedwardian.com,020 7629 7777 ,
St James Court Taj Hotel,"45-51 Buckingham Gate, London, SW1E 6AF",stjamescourthotel.co.uk,020 7834 6655 ,"https://c.yell.com/t_bigSquare,f_auto/f0efcb69-fcba-4f57-ba94-ed474cc8be2e_image_jpeg.jpg"
Citadines Prestige Holborn - Covent Garden London,"94-99, High Holborn, London, WC1V 6LF",,0845 0805104 ,
DoubleTree by Hilton Hotel London - West End,"92 Southampton Row, London, WC1B 4BH",hilton.com,020 7242 2828 ,"https://c.yell.com/t_bigRect,f_auto/d03c9c8e-b12c-42a9-9561-67ac1df130bb_image_jpeg.jpg"
Sidney Hotel,"68-76 Belgrave Rd, London, SW1V 2BP",sidneyhotel.com,020 7834 2738 ,"https://c.yell.com/t_bigSquare,f_auto/2d020190-aeee-4e43-861b-14f6fb3125b7_image_jpeg.jpg"
The Thanet Hotel London,"8 Bedford Place, London, WC1B 5JA",thanethotel.co.uk,020 7636 2869 ,
Point A Hotel Westminster,"118-120 Westminster Bridge Rd, London, SE1 7RW",pointahotels.com,020 7633 9317 ,"https://c.yell.com/t_bigSquare,f_auto/aa8e2e18-a0a6-4143-81a0-441e709181ce_image_jpeg.jpg"
My Bloomsbury,"11-13 Bayley St, London, WC1B 3HD",myhotels.com,020 3004 6000 ,
African Hospitality Concepts Ltd,"International House, 223, Regent St, London, W1B 2QD",african-hospitality-concepts.com,07774 594511 ,
Cotton Rooms,"1-4 University St, London, WC1E 6AQ",cottonrooms.com,020 7380 0030 ,
Sea Containers London,"20 Upper Ground, South Bank, London, SE1 9PD",seacontainerslondon.com,020 3747 1000 ,"https://c.yell.com/t_bigRect,f_auto/d7245db5-50cd-4d0a-92df-db6c6c41c206_image_jpeg.jpg"
Flemings Hotels Ltd,"7-12 Half Moon St, Mayfair, London, W1J 7BH",flemings-mayfair.co.uk,020 7499 0000 ,"https://c.yell.com/t_bigSquare,f_auto/68cf19d4-28cc-4547-a0a0-71eb4fdb10db_image_jpeg.jpg"
Tavistock Hotel,"Tavistock Square, London, WC1H 9EU",imperialhotels.co.uk,020 7636 8383 ,"https://c.yell.com/t_bigSquare,f_auto/cec9ab0d-bcce-4a5d-8896-df9bc3348511_image_jpeg.jpg"
Caxton Grill,"2 Caxton St, London, SW1H 0QW",sterminshotel.co.uk,0800 652 1498 ,
Staunton Hotel,"13-15 Gower St, London, WC1E 6HE",stauntonhotel.com,020 7580 2740 ,
Sir Richard Sutton Ltd,"14 Bolton St, London, W1J 8BF",,020 7493 0545 ,
Park Plaza Victoria London,"239 Vauxhall Bridge Rd, Pimlico, London, SW1V 1EQ",parkplaza.com,0333 400 6142 ,"https://c.yell.com/t_bigRect,f_auto/cff7ff3c-59b4-4c5f-9ff6-3898d0a6b05a_image_jpeg.jpg"
Premier Inn London Holborn,"27-29 Red Lion St, Holborn, London, WC1R 4PS",premierinn.com,0333 321 9346 ,"https://c.yell.com/t_bigRect,f_auto/aca71364-30d4-4dcd-840f-bd1e5271bcea_image_jpeg.jpg"
The Washington Mayfair Hotel,"5 Curzon St, London, W1J 5HE",washington-mayfair.co.uk,020 7499 7000 ,"https://c.yell.com/t_bigSquare,f_auto/3904ec80-82ee-4b95-be36-1888f5f71e2a_image_jpeg.jpg"
Bloomsbury House,"2-3 Bloomsbury Square, London, WC1A 2RL",bonningtongroup.com,020 7395 9900 ,
St. George's Inn Victoria,"25 Belgrave Rd, London, SW1V 1RB",stgeorgesinnvictoria.co.uk,020 7828 2061 ,"https://c.yell.com/t_bigSquare,f_auto/a73e6848-47fa-4fa2-af8a-bb58a4494f04_image_jpeg.jpg"
Apex Hotels Ltd,"1-2 Searjents Inn, London, EC4Y 1LL",,0845 3650000 ,
Ridgemount Hotel,"65-67 Gower St, London, WC1E 6HJ",ridgemounthotel.co.uk,020 7636 1141 ,"https://c.yell.com/t_bigSquare,f_auto/186a58c3-b549-484d-9d1c-71f58624a4ad_image_jpeg.jpg"
Gower House Hotel,"57 Gower St, London, WC1E 6HJ",gowerhousehotel.co.uk,020 7636 4685 ,"https://c.yell.com/t_bigSquare,f_auto/1fcaaea3-a83c-40fe-8e0e-a3be47afb78e_image_jpeg.jpg"
President Hotel,"60 Guilford Street, Bloomsbury, LONDON, WC1N 1DB",imperialhotels.co.uk,020 7837 8844 ,"https://c.yell.com/t_bigSquare,f_auto/a18e2e49-3724-437d-930b-f8415f3d5b1b_image_jpeg.jpg"
The Beauchamp Hotel,"24-27 Bedford Place, London, WC1B 5JH",grangehotels.com,020 7016 2540 ,
Jesmond Hotel,"63 Gower St Bloomsbury, London, WC1E 6HJ",jesmondhotel.org.uk,020 7636 3199 ,"https://c.yell.com/t_bigSquare,f_auto/6ec5e898-6537-4bf8-95d7-c06fcd5fdfbd_image_jpeg.jpg"
Grosvenor Serviced Apartments,"3 Strutton Ground, LONDON, SW1P 2HX",,0845 6800679 ,
Gillray's Within London Marriott County Hall,"Westminster Bridge Rd, London, SE1 7PB",gillrays.com,020 7902 8000 ,"https://c.yell.com/t_bigSquare,f_auto/f74b6ad3-a46f-417f-8869-c743d7769a97_image_jpeg.jpg"
Premier Inn London Southwark (Southwark Station) hotel,"31 The Cut, London, SE1 8LE",premierinn.com,0333 003 8101 ,"https://c.yell.com/t_bigRect,f_auto/614cbb5c-07ca-4102-92bc-a9991825dbe5_image_jpeg.jpg"
The Penn Club,"21-23 Bedford Place, London, WC1B 5JJ",pennclub.co.uk,020 7636 4718 ,"https://c.yell.com/t_bigSquare,f_auto/83bdaeb5-5467-4bea-93fb-5dee0058ca9b_image_jpeg.jpg"
Apex Hotels,"49-50 Fleet Street, LONDON, EC4Y 1BE",apexhotels.co.uk,020 3004 4141 ,
Taj International Hotels Ltd,"51 Buckingham Gate, London, SW1E 6BS",51-buckinghamgate.co.uk,0843 8161382 ,
Park Plaza London Waterloo,"6 Hercules Rd, London, SE1 7DP",parkplazalondonwaterloo.com,0333 400 6128 ,"https://c.yell.com/t_bigRect,f_auto/3a979e80-46dd-49b3-be83-ea0e0fb3a989_image_jpeg.jpg"
Hampton by Hilton London Waterloo,"157 Waterloo Road, London, SE1 8XA",hilton.com,020 7401 8080 ,"https://c.yell.com/t_bigRect,f_auto/698d13e4-d218-41ed-864c-3b8789b02c3b_image_jpeg.jpg"
OYO Home Waterloo Executive 3,"21 Lower Marsh South Bank, London, SE1 7RJ",oyorooms.com,020 8089 8579 ,
OYO Home 126 Flat 1 21 Lower Marsh Waterloo,"21 Lower Marsh, London, SE1 7RJ",oyorooms.com,020 8089 8579 ,
hub by Premier Inn London Goodge Street hotel,"Brook House Torrington Place, London, WC1E 7HN",premierinn.com,0871 527 9608 ,"https://c.yell.com/t_bigRect,f_auto/3b92bf73-74bf-465d-8d2a-3c912d1871e5_image_jpeg.jpg"
Kimpton Fitzroy London,"1-8 Russell Square, London, WC1B 5BE",,0371 423 4828 ,"https://c.yell.com/t_bigRect,f_auto/a5765ef5-4486-41d3-ba3b-03c7f152a8ad_image_jpeg.jpg"
Celtic Hotel,"62 Guilford St, London, WC1N 1DD",stmargaretshotel.co.uk,020 7837 6737 ,"https://c.yell.com/t_bigSquare,f_auto/d2c61a4b-d84e-4fba-8130-663931f11d10_image_jpeg.jpg"
Treehouse Hotel London,"14-15 Langham Place, London, W1B 2QS",treehousehotels.com,020 7580 0111 ,"https://c.yell.com/t_bigRect,f_auto/a9dfae86-5b3e-4911-8a78-8ceac02b26c6_image_jpeg.jpg"
Imperial London Hotel,"61-66 Russell Square, London, WC1B 5BB",imperialhotels.co.uk,020 7837 3655 ,"https://c.yell.com/t_bigSquare,f_auto/befe800b-df99-416c-82dd-cd234a62cf18_image_jpeg.jpg"
Generator London,"37 Tavistock Place, London, WC1H 9SE",generatorhostels.com,020 7388 7666 ,"https://c.yell.com/t_bigSquare,f_auto/e954703f-33be-4390-a8c1-d36d3a3e05a7_image_jpeg.jpg"
Mercure Bloomsbury Hotel,"130-134 Southampton Row, London, WC1B 5AF",mercure.accorhotels.com,020 7833 3691 ,
Hotel Cavendish,"75 Gower St, Bloomsbury, London, WC1E 6HJ",hotelcavendish.com,020 7636 9079 ,"https://c.yell.com/t_bigSquare,f_auto/eacbaf2d-a6be-4741-ac26-0b9b3534dbaf_image_jpeg.jpg"
"The Mad Hatter Hotel, Southwark","3-7 Stamford St, London, SE1 9NY",madhatterhotel.co.uk,020 7401 9222 ,
Crowne Plaza London - The City,"19 New Bridge St, London, EC4V 6DB",ihg.com,0871 942 9190 ,"https://c.yell.com/t_bigRect,f_auto/767c8e8a-dde0-40f0-ac39-9859bb8cee47_image_png.png"
London Marriott Hotel Park Lane,"140 Park Lane, London, W1K 7AA",marriott.com,020 7493 7000 ,"https://c.yell.com/t_bigRect,f_auto/d213a6ca-a6cb-4386-8d13-e5fee6c41e26_image_jpeg.jpg"
Kimpton Fitzroy London,"1-8 Russell Square, London, WC1B 5BE",ihg.com,020 7123 5000 ,"https://c.yell.com/t_bigRect,f_auto/8f4ce5bb-b3dc-4238-94fb-7777046acdcd_image_png.png"
Astors Hotel,"106-112 Ebury St, London, SW1W 9QD",astorshotelvictoria.co.uk,020 7730 0158 ,"https://c.yell.com/t_bigSquare,f_auto/d5abe3f7-d352-41cc-8a54-79d7a08121c5_image_jpeg.jpg"
The Royal National Hotel,"38-51 Bedford Way, London, WC1H 0DG",imperialhotels.co.uk,020 7637 2488 ,"https://c.yell.com/t_bigSquare,f_auto/721f83b6-8c61-416c-86a1-b9d266324bb9_image_jpeg.jpg"
Hotel Novotel London Waterloo,"113 Lambeth Rd, London, SE1 7LS",all.accor.com,020 7660 0674 ,"https://c.yell.com/t_bigRect,f_auto/0e4a4115-2da6-4d27-91a1-85e18a4a4b31_image_jpeg.jpg"
Red Carnation Hotels,"35 Charles St, London, W1J 5EB",redcarnationhotels.com,0845 6342665 ,
The Waterloo Hub Hotel & Suite,"54 Kennington Rd, London, SE1 7BJ",hotelwaterloo.com,020 7922 1331 ,"https://c.yell.com/t_bigSquare,f_auto/cd1c8ba3-d043-4b1d-85cb-03dcfbc9a6d8_image_jpeg.jpg"
Thistle Holburn,"126 Southampton Row, London, WC1B 5AD",thistle.com,020 7430 0434 ,
Waverley House,"130-134 Southampton Row, London, WC1B 5AF",mercure.com,020 7834 3691 ,
Holiday Inn Express,"Tudor Street, London, EC4Y 0AY",holidayinn.com,0371 423 4876 ,
Premier Inn London Blackfriars (Fleet Street),"1-2 Dorset Rise, London, EC4Y 8EN",premierinn.com,0333 321 9269 ,"https://c.yell.com/t_bigRect,f_auto/465b8814-e137-4d4e-a4e3-02ff26bd77dc_image_jpeg.jpg"
The Rubens,"39-41 Buckingham Palace Rd, London, SW1W 0PS",redcarnationhotels.com,020 7834 6600 ,"https://c.yell.com/t_bigRect,f_auto/709ef776-0390-436d-be81-0c4fe1ebdb36_image_jpeg.jpg"
Holiday Inn Express London - Southwark,"Holiday Inn Express, 103-109, London, SE1 0JQ",,0871 423 4828 ,"https://c.yell.com/t_bigRect,f_auto/e2531caa-20e9-4667-a380-df18f02ce26c_image_png.png"
Travelodge Hotels Ltd,"195-203 Waterloo Rd, London, SE1 8UX",travelodge.co.uk,0871 984 6291 ,"https://c.yell.com/t_bigSquare,f_auto/eec48f1c-af4a-4ff2-97a0-12f3f833933d_image_jpeg.jpg"
Snoozebox Ltd,"69 Grosvenor St, London, W1K 3JP",snoozebox.com,0845 092 0174 ,
Astor Court Hotel,"20 Hallam St, London, W1W 6JQ",astorcourthotel.co.uk,020 7636 4133 ,"https://c.yell.com/t_bigSquare,f_auto/4c0ff7ec-d4d2-4ebb-ab35-cb5389a4df57_image_jpeg.jpg"
The Crown Plaza,"19 New Bridge St, London, EC4V 6DB",ihg.com,0871 942 9190 ,"https://c.yell.com/t_bigSquare,f_auto/58259355-b84f-4f35-99f0-e8431a1cbace_image_jpeg.jpg"
London Hilton on Park Lane,"22 Park Lane, London, W1K 1BE",hilton.com,020 7493 8000 ,"https://c.yell.com/t_bigRect,f_auto/83babeff-ba0f-4587-a003-1f1aa21ee66b_image_jpeg.jpg"
Claridge's,"41 Brook St, London, W1K 4HR",claridges.co.uk,020 7629 8860 ,"https://c.yell.com/t_bigSquare,f_auto/de505b80-bc40-4a42-b768-dff0c52c8c71_image_jpeg.jpg"
Mermaid Suite Hotel,"3 Blenheim Street, London, W1S 1LA",,0845 0805104 ,
The Hoxton,"40 Blackfriars Rd, South Bank, London, SE1 8NY",thehoxton.com,020 7903 3000 ,"https://c.yell.com/t_bigSquare,f_auto/c0652f75-02a1-44c0-91c1-b7e6a269747d_image_jpeg.jpg"
Hotel 41,"41 Buckingham Palace Rd, London, SW1W 0PS",41hotel.com,020 7300 0041 ,"https://c.yell.com/t_bigSquare,f_auto/076b7883-a2c8-4c80-a24d-bc14827b5583_image_jpeg.jpg"
Intercontinental Hotels & Resorts,"1 Hamilton Place, Mayfair, LONDON, W1J 7QY",intercontinental.com,020 7409 3131 ,"https://c.yell.com/t_bigSquare,f_auto/bc4705da-16fe-4cc2-9867-692fb4334905_image_jpeg.jpg"
Riverford London Hotels,"36 Langham St, London, W1W 7AP",,0800 9788192 ,
Hotel Russell,"1-8 Russell Square, London, WC1B 5BE",,0207837 6470 ,
Sheraton Grand London Park Lane,"79 Brick St, London, W1J 7BX",marriott.com,020 7499 6321 ,"https://c.yell.com/t_bigRect,f_auto/ed76a3d3-4e56-427d-adc4-c87ab80c480f_image_jpeg.jpg"
Tog (UK) Ltd,"1-2 Bolt Court, London, EC4A 3DQ",,020 3603 9810 ,
Novotel London Blackfriars,"46 Blackfriars Rd, London, SE1 8NZ",all.accor.com,020 7660 0834 ,
Renaissance Hotels,"Barnards Inn, 86, Fetter Lane, London, EC4A 1EN",marriott.com,0800 181737 ,
Wedding Venue,"Dartmouth House, 37, Charles St, London, W1J 5ED",,020 7529 1554 ,
De Vere Group,"4th floor, 33, Cavendish Square, London, W1G 0PW",devere.co.uk,0871 222 4195 ,
Hallam Hotel,"12 Hallam St, London, W1W 6JF",hallamhotel.com,020 7580 1166 ,"https://c.yell.com/t_bigSquare,f_auto/88850549-7f57-4a37-9c49-f61bf8a1ab17_image_jpeg.jpg"
Ralph Trustees Ltd,"116 Piccadilly, London, W1J 7BJ",athenaeumhotel.com,020 7408 9333 ,
The London Pub,"Royal National Hotel, 38-51, Bedford Way, London, WC1H 0DG",imperialhotels.co.uk,020 7692 3619 ,"https://c.yell.com/t_bigSquare,f_auto/0235ee21-6072-4c15-900e-5cfe08860e94_image_jpeg.jpg"
"Radisson Blu Edwardian, Berkshire","350 Oxford St, Marylebor, London, W1C 1BY",radissonblu-edwardian.com,020 7629 7474 ,"https://c.yell.com/t_bigRect,f_auto/c55aa042-ef70-4044-bcf1-a0bc8a6d44a2_image_jpeg.jpg"
Holiday Inn Express London - Southwark,"103-109 Southwark St, London, SE1 0JQ",ihg.com,020 7401 2525 ,"https://c.yell.com/t_bigRect,f_auto/c9ff0340-18dd-43ec-a697-90d24a41bb0e_image_png.png"
Holiday Inn,"Coram St, London, WC1N 1HT",ihg.com,0871 942 9222 ,"https://c.yell.com/t_bigRect,f_auto/07938de0-bb88-41d8-bceb-24521eaa2694_image_png.png"
